Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Główny ekspert/ Główna ekspertka ds. badań i analiz,"https://www.pracuj.pl/praca/glowny-ekspert-glowna-ekspertka-ds-badan-i-analiz-warszawa-gorczewska-8,oferta,1004545694?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Analityk/czka Biznesowo-Systemowy/a,"https://www.pracuj.pl/praca/analityk-czka-biznesowo-systemowy-a-warszawa-rondo-ignacego-daszynskiego-1,oferta,1004539008?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,0,0,0
Starsza Specjalistka / Starszy Specjalista ds. analiz produktu,"https://www.pracuj.pl/praca/starsza-specjalistka-starszy-specjalista-ds-analiz-produktu-warszawa-chmielna-89,oferta,1004543162?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,0,1,0
Analityk / Analityczka ds. Kampanii Marketingowych,"https://www.pracuj.pl/praca/analityk-analityczka-ds-kampanii-marketingowych-warszawa-aleje-jerozolimskie-160,oferta,1004543143?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,0,1,1,0
Senior Full Stack Developer / Analityk systemowy / Analityczka systemowa (k/m),"https://www.pracuj.pl/praca/senior-full-stack-developer-analityk-systemowy-analityczka-systemowa-k-m-warszawa-pulawska-182,oferta,1004543254?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Analityk/czka biznesowo-systemowy/a (Projektant/ka UX/UI),"https://www.pracuj.pl/praca/analityk-czka-biznesowo-systemowy-a-projektant-ka-ux-ui-warszawa-kolska-12,oferta,1004543002?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,1,0
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-lodz,oferta,1004542914?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,0,0,1,0,0
BI developer with Python,"https://www.pracuj.pl/praca/bi-developer-with-python-warszawa-aleja-jana-pawla-ii-22,oferta,1004542891?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,0,0,1,0
Analityk Farmaceutyczny/Analityczka Farmaceutyczna,"https://www.pracuj.pl/praca/analityk-farmaceutyczny-analityczka-farmaceutyczna-katowice,oferta,1004557933?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,0,0
Analityk Operacyjny / Analityczka Operacyjna,"https://www.pracuj.pl/praca/analityk-operacyjny-analityczka-operacyjna-mszczonow,oferta,1004542584?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
FP&A Analyst,"https://www.pracuj.pl/praca/fp-a-analyst-gdansk,oferta,1004557733?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,1,1,0,0
Analityczka / Analityk ds. Modelowania Ryzyka,"https://www.pracuj.pl/praca/analityczka-analityk-ds-modelowania-ryzyka-warszawa,oferta,1004544560?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,0,0
Specjalista / Specjalistka - Analityk / Analityczka AML,"https://www.pracuj.pl/praca/specjalista-specjalistka-analityk-analityczka-aml-warszawa,oferta,1004544139?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Programista / Programistka Power BI,"https://www.pracuj.pl/praca/programista-programistka-power-bi-warszawa,oferta,1004557192?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Order Management Analyst with French (m/f),"https://www.pracuj.pl/praca/order-management-analyst-with-french-m-f-lodz-doctor-stefana-kopcinskiego-62,oferta,1004541692?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Analityk(-czka) biznesowy(-a),"https://www.pracuj.pl/praca/analityk-czka-biznesowy-a-wroclaw,oferta,1004529529?sug=list_bd_1_boosterAI_L2&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,1,0,1,0,0
